,Postcode district,Neighborhood,Borough,Latitude,Longitude
96,SE8,"Deptford district: Deptford, Evelyn, Rotherhithe (part), St John's","Greenwich, Lewisham, Southwark",51.48118,-0.02828
97,SE9,"Eltham district: Eltham, Mottingham, New Eltham, Well Hall, Avery Hill (part), Falconwood (part), Sidcup (part), Chinbrook (part), Longlands (part) Kidbrooke (part), Shooter's Hill (part)","Bexley, Bromley, Greenwich, Lewisham",51.44465,0.056510000000000005
98,SE10,"Greenwich district: Greenwich, Maze Hill, Greenwich Peninsula, North Greenwich[disambiguation needed]","Greenwich, Lewisham",51.48162,-0.0008900000000000001
99,SE11,"Kennington district: Kennington, Lambeth (part), Vauxhall (part), Oval (part)","Lambeth, Southwark",51.4888,-0.10862000000000001
100,SE12,"Lee district: Lee, Mottingham, Grove Park, Chinbrook, Hither Green (part), Eltham (part), Horn Park","Greenwich, Lewisham, Bromley",51.4443,0.02483
101,SE13,"Lewisham district: Lewisham, Hither Green, Ladywell","Greenwich, Lewisham",51.45837,-0.0091
102,SE14,"New Cross district: New Cross, Telegraph Hill",Lewisham,51.47511,-0.0415
103,SE15,"Peckham district: Peckham, Nunhead, South Bermondsey (part), Old Kent Road (part)","Lewisham, Southwark",51.47189,-0.06468
104,SE16,"Rotherhithe district: Rotherhithe (part), Surrey Quays, South Bermondsey (part)","Lewisham, Southwark",51.49597,-0.052129999999999996
105,SE17,"Walworth district: Walworth, Kennington (part), Newington",Southwark,51.48764,-0.09282
106,SE18,"Woolwich district: Woolwich, Royal Arsenal, Plumstead, Shooter's Hill","Bexley, Greenwich",51.483909999999995,0.07412
107,SE19,"Norwood district: Upper Norwood, Crystal Palace","Bromley, Croydon, Lambeth, Lewisham, Southwark",51.41735,-0.08424
108,SE20,"Anerley district: Anerley, Crystal Palace (part), Penge, Beckenham (part)",Bromley,51.41151,-0.05716
109,SE21,"Dulwich district: Dulwich, Dulwich Village, West Dulwich, Tulse Hill (part)","Lambeth, Southwark",51.43807,-0.08626
110,SE22,"East Dulwich district: East Dulwich, Dulwich Village (part), Peckham Rye, Loughborough Junction, Herne Hill",Southwark,51.45401,-0.07119
111,SE23,"Forest Hill district: Forest Hill, Honor Oak, Crofton Park (part), Perry Vale","Lewisham, Southwark",51.44015,-0.04875
112,SE24,"Herne Hill district: Herne Hill, Tulse Hill (part), Dulwich (part), Brixton (part)","Lambeth, Southwark",51.45446,-0.09852999999999999
113,SE25,"South Norwood district: South Norwood, Selhurst (part), Thornton Heath (part), Woodside (part)",Croydon,51.397420000000004,-0.07501000000000001
114,SE26,"Sydenham district: Sydenham, Crystal Palace (part)","Bromley, Lewisham, Southwark",51.42674,-0.05364
115,SE27,"West Norwood district: West Norwood, Gipsy Hill (part)",Lambeth,51.43022,-0.10097
116,SE28,Thamesmead district: Thamesmead,"Bexley, Greenwich",51.50219,0.10809
117,SW1A,"Whitehall, Buckingham Palace, the Houses of Parliament and west of St James's",Westminster,51.50265,-0.13111
118,SW1E,Northern 'Victoria' around Buckingham Gate (a street) to include both sides of part of Victoria Street,Westminster,51.497370000000004,-0.13853
119,SW1H,"Surrounds of St James's Park tube station centred on Broadway, Queen Anne's Gate and Old Queen Street to include both sides of part of Victoria Street – derivation: Horse Guards Parade",Westminster,51.49818,-0.13273
120,SW1P,"A projection around Parliament Square. Nearby Westminster School to Westminster Cathedral to CCAL, University of the Arts, London (omitting all backstreets nearest to Vauxhall Bridge Road) – derivation: Parliament Square",Westminster,51.49548,-0.13284
121,SW1V,"between Vauxhall Bridge, Grosvenor (or Victoria Railway) Bridge and Victoria Station, taking in both sides of Vauxhall Bridge Road; includes Pimlico",Westminster,51.490159999999996,-0.13738
122,SW1W,"South or lower Belgravia and Chelsea (a corner), from Sloane Square to Victoria Station to Grosvenor Waterside basin","Westminster, Kensington and Chelsea",51.49302,-0.14735
123,SW1X,"Rest of Belgravia (north of Eaton Square), Knightsbridge (eastern half) and Chelsea (a corner)","Westminster, Kensington and Chelsea",51.4976,-0.15292999999999998
124,SW1Y,All but the west of St James's,Westminster,51.505390000000006,-0.13388
125,SW2,"Brixton district: Brixton Hill, Tulse Hill (part), Brixton (part), Streatham Hill, Clapham (part), Eastern parts of Balham, Lambeth",Lambeth,51.44939,-0.11889000000000001
126,SW3,"Chelsea district: Chelsea, Brompton, Knightsbridge (part)",Kensington and Chelsea,51.48969,-0.16477
127,SW4,"Clapham district: Clapham, Stockwell (part)","Lambeth, Wandsworth",51.46045,-0.13571
128,SW5,Earls Court district: Earls Court,Kensington and Chelsea,51.49005,-0.18781
129,SW6,"Fulham district: Fulham, Parsons Green",Hammersmith and Fulham,51.47675,-0.19985999999999998
130,SW7,"South Kensington district: South Kensington, Knightsbridge (part)","Kensington and Chelsea, Westminster",51.496140000000004,-0.1746
131,SW8,"South Lambeth district: South Lambeth, Wandsworth Road, Vauxhall, Battersea:Nine Elms (part), Clapham (part), NW area of Stockwell, Oval (part)","Lambeth, Wandsworth",51.47566,-0.13077
132,SW9,"Stockwell district: Brixton, Stockwell, Clapham (part), Oval (part)",Lambeth,51.46907,-0.11232
133,SW10,"West Brompton district: West Brompton, Chelsea (part)","Kensington and Chelsea, Hammersmith and Fulham",51.48365,-0.18086
134,SW11,"Battersea head district: Battersea, Clapham South","Wandsworth, Lambeth",51.4663,-0.16427
135,SW12,"Balham district: Balham, Clapham South, Wandsworth Common (part)","Wandsworth, Lambeth",51.44536,-0.14784
136,SW13,Barnes district: Barnes,Richmond upon Thames,51.47473,-0.24458000000000002
137,SW14,"Mortlake district: Mortlake, East Sheen",Richmond upon Thames,51.465140000000005,-0.26511
138,SW15,"Putney district: Putney, Roehampton, Kingston Vale, Putney Heath, Putney Vale, Richmond Park, Roehampton Vale","Wandsworth, Kingston upon Thames, Richmond upon Thames",51.45734,-0.22509
139,SW16,"Streatham district: Streatham, Streatham Common, Norbury, Streatham Park, Furzedown, Streatham Vale, Mitcham Common, Pollards Hill, Eastfields","Lambeth, Croydon, Wandsworth, Merton",51.42165,-0.12722
140,SW17,"Tooting district: Tooting, Balham (part), Mitcham (part)","Wandsworth, Merton",51.4303,-0.16283
141,SW18,"Wandsworth district: Wandsworth Town, Southfields, Earlsfield",Wandsworth,51.4496,-0.18941
142,SW19,"Wimbledon district: Wimbledon, Colliers Wood, Merton Park, Merton Abbey, Southfields, Morden (part)","Merton, Wandsworth",51.42284,-0.20340999999999998
143,SW20,"West Wimbledon district: Raynes Park, Lower Morden, Merton Park, Wimbledon Chase",Merton,51.410579999999996,-0.22546999999999998
144,W1A,PO boxes & Admail codes in W1[7],non-geographic,51.518562,-0.143799
145,W1B,"Portland Place, Regent Street",Westminster,51.51357,-0.13931
146,W1C,Oxford Street (west),Westminster,51.513709999999996,-0.14795
147,W1D,"Soho (south east); Chinatown, Soho Square",Westminster,51.51344,-0.13066
148,W1F,Soho (north west),Westminster,51.512609999999995,-0.13502
149,W1G,Harley Street,Westminster,51.51818,-0.14633
150,W1H,Marylebone,Westminster,51.51659,-0.15936
151,W1J,"Mayfair (south), Piccadilly",Westminster,51.50735,-0.14388
152,W1K,"Mayfair (north), Grosvenor Square",Westminster,51.51104,-0.1495
153,W1S,"Mayfair (east), Hanover Square, Savile Row, Royal Academy",Westminster,51.5109,-0.14085999999999999
154,W1T,"Fitzrovia, Tottenham Court Road",Camden,51.5198,-0.13473
155,W1U,Marylebone,Westminster,51.51827,-0.15209
156,W1W,"Great Portland Street, Fitzrovia",Westminster,51.51897,-0.13909000000000002
157,W2,"Paddington head district: Paddington, Bayswater, Hyde Park, Westbourne Green, Little Venice (part), Notting Hill (part)","Westminster, Kensington and Chelsea",51.51508,-0.17815999999999999
158,W3,"Acton district: Acton, West Acton, North Acton (part), South Acton, East Acton (west), Park Royal (south), Hanger Hill Garden Estate, Gunnersbury Park","Ealing, Hounslow, Hammersmith and Fulham",51.50925,-0.26775
159,W4,"Chiswick district: Chiswick, Gunnersbury, Turnham Green, Acton Green, South Acton (part), Bedford Park","Hounslow, Ealing, Hammersmith and Fulham",51.49118,-0.26268
160,W5,"Ealing district: Ealing, South Ealing, Ealing Common, North Ealing, Northfields, (south and east), Pitshanger, Hanger Lane","Ealing, Hounslow",51.51243,-0.30078
161,W6,"Hammersmith district: Fulham, Hammersmith, Ravenscourt Park, Stamford Brook (part)","Hammersmith and Fulham, Hounslow",51.492459999999994,-0.22805
162,W7,"Hanwell district: Hanwell, Boston Manor (part)","Ealing, Hounslow",51.5111,-0.33398
163,W8,"Kensington district: Kensington, Holland Park (part)",Kensington and Chelsea,51.500029999999995,-0.19317
164,W9,"Maida Hill district: Maida Hill, Maida Vale, Little Venice (part)","Westminster, Brent, Camden",51.526070000000004,-0.1907
165,W10,"North Kensington district: North Kensington, Kensal Town, Ladbroke Grove (north), Queen's Park (part)","Kensington and Chelsea, Westminster, Hammersmith and Fulham, Brent",51.521029999999996,-0.21397
166,W11,"Notting Hill district: Notting Hill, Ladbroke Grove (south), Holland Park (part)","Kensington and Chelsea, Westminster, Hammersmith and Fulham",51.51189,-0.20424
167,W12,"Shepherds Bush district: Shepherds Bush, White City, Wormwood Scrubs, East Acton (east)",Hammersmith and Fulham,51.50777,-0.2289
168,W13,"West Ealing district: West Ealing, Northfields (north and west)",Ealing,51.5127,-0.31951
169,W14,"West Kensington district: West Kensington, Kensington Olympia, Holland Park","Hammersmith and Fulham, Kensington and Chelsea",51.49488,-0.20923000000000003
170,WC1A,New Oxford Street,Camden,51.516940000000005,-0.12475
171,WC1B,"Bloomsbury, British Museum, Southampton Row",Camden,51.51876,-0.12612
172,WC1E,"University College London, SOAS",Camden,51.52065,-0.13180999999999998
173,WC1H,"St Pancras, UCL Institute of Education",Camden,51.52415,-0.1259
174,WC1N,"Russell Square, Great Ormond Street",Camden,51.521359999999994,-0.12025
175,WC1R,Gray's Inn,Camden,51.5186,-0.11604
176,WC1V,High Holborn,"Camden, City of London",51.51685,-0.11899000000000001
177,WC1X,"Kings Cross, Finsbury (west), Clerkenwell (north)","Camden, Islington",51.52489,-0.11578
178,WC2A,"Lincoln's Inn Fields, Royal Courts of Justice, Chancery Lane","Camden, Westminster, City of London",51.515879999999996,-0.11470999999999999
179,WC2B,"Drury Lane, Kingsway, Aldwych","Camden, Westminster",51.5151,-0.12195
180,WC2E,Covent Garden,Westminster,51.51242,-0.1235
181,WC2H,"Leicester Square, St. Giles","Camden, Westminster",51.51339,-0.12778
182,WC2N,Charing Cross,Westminster,51.50975,-0.12505
183,WC2R,"Somerset House, Temple (west)",Westminster,51.51145,-0.11921
